<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MFON,60,20170103,110000,583.0000000,586.0000000,581.0000000,583.3000000,10.650
MFON,60,20170103,120000,583.3000000,584.3000000,580.7000000,583.2000000,9.730
MFON,60,20170103,130000,583.3000000,588.4000000,582.6000000,588.4000000,31.670
MFON,60,20170103,140000,587.9000000,588.2000000,580.0000000,582.7000000,54.720
MFON,60,20170103,150000,582.4000000,587.1000000,582.1000000,586.4000000,17.450
MFON,60,20170103,160000,586.5000000,587.0000000,584.9000000,585.1000000,7.920
MFON,60,20170103,170000,585.3000000,586.5000000,585.2000000,586.5000000,3.520
MFON,60,20170103,180000,586.7000000,587.6000000,585.5000000,587.4000000,13.970
MFON,60,20170103,190000,586.4000000,587.7000000,585.6000000,585.6000000,25.680
MFON,60,20170104,110000,587.7000000,587.7000000,583.0000000,583.0000000,12.030
MFON,60,20170104,120000,583.2000000,591.9000000,583.2000000,591.0000000,28.090
MFON,60,20170104,130000,590.2000000,590.9000000,588.0000000,590.1000000,5.760
MFON,60,20170104,140000,590.1000000,591.9000000,589.7000000,590.7000000,16.560
MFON,60,20170104,150000,591.1000000,591.4000000,589.0000000,590.0000000,11.550
MFON,60,20170104,160000,590.0000000,590.7000000,588.3000000,590.4000000,7.920
MFON,60,20170104,170000,589.8000000,590.9000000,586.5000000,587.8000000,11.470
MFON,60,20170104,180000,587.6000000,591.9000000,587.4000000,589.0000000,16.110
MFON,60,20170104,190000,589.0000000,589.4000000,588.0000000,588.1000000,8.500
MFON,60,20170105,110000,588.4000000,589.6000000,586.8000000,587.8000000,3.960
MFON,60,20170105,120000,587.4000000,593.0000000,587.1000000,593.0000000,24.920
MFON,60,20170105,130000,593.0000000,595.0000000,591.9000000,594.9000000,19.300
MFON,60,20170105,140000,594.9000000,595.0000000,592.3000000,594.4000000,38.790
MFON,60,20170105,150000,594.7000000,595.4000000,592.2000000,593.1000000,37.900
MFON,60,20170105,160000,592.8000000,596.4000000,592.1000000,595.7000000,39.160
MFON,60,20170105,170000,595.6000000,596.0000000,594.0000000,595.7000000,12.630
MFON,60,20170105,180000,595.3000000,595.5000000,593.9000000,594.0000000,8.840
MFON,60,20170105,190000,594.3000000,594.6000000,592.7000000,593.8000000,20.840
MFON,60,20170106,110000,593.8000000,597.2000000,593.5000000,594.1000000,15.700
MFON,60,20170106,120000,594.1000000,595.9000000,593.0000000,593.1000000,10.280
MFON,60,20170106,130000,593.3000000,594.5000000,590.8000000,591.0000000,16.190
MFON,60,20170106,140000,591.0000000,592.3000000,590.1000000,592.0000000,13.650
MFON,60,20170106,150000,591.8000000,592.4000000,590.1000000,590.8000000,5.010
MFON,60,20170106,160000,591.0000000,592.3000000,589.0000000,591.7000000,8.500
MFON,60,20170106,170000,591.7000000,592.0000000,591.0000000,592.0000000,2.980
MFON,60,20170106,180000,592.1000000,592.7000000,590.6000000,592.6000000,8.110
MFON,60,20170106,190000,592.4000000,592.7000000,590.1000000,590.2000000,4.880
MFON,60,20170109,110000,591.3000000,594.2000000,585.0000000,590.1000000,13.860
MFON,60,20170109,120000,590.5000000,592.6000000,588.6000000,590.0000000,9.710
MFON,60,20170109,130000,591.1000000,591.3000000,590.0000000,590.5000000,7.570
MFON,60,20170109,140000,590.6000000,591.4000000,588.0000000,589.8000000,13.670
MFON,60,20170109,150000,588.9000000,590.9000000,588.3000000,588.7000000,10.700
MFON,60,20170109,160000,589.0000000,590.4000000,588.4000000,590.2000000,12.000
MFON,60,20170109,170000,590.2000000,590.4000000,588.0000000,589.8000000,15.700
MFON,60,20170109,180000,589.8000000,590.0000000,588.2000000,589.2000000,4.610
MFON,60,20170109,190000,589.2000000,592.0000000,588.9000000,591.3000000,21.770
MFON,60,20170110,110000,592.5000000,592.7000000,588.6000000,589.2000000,13.030
MFON,60,20170110,120000,589.5000000,592.0000000,589.2000000,591.0000000,23.960
MFON,60,20170110,130000,591.0000000,591.0000000,590.2000000,590.3000000,7.390
MFON,60,20170110,140000,590.5000000,593.7000000,590.3000000,592.3000000,17.550
MFON,60,20170110,150000,593.1000000,593.8000000,592.4000000,593.8000000,7.310
MFON,60,20170110,160000,593.8000000,594.0000000,592.3000000,593.4000000,17.120
MFON,60,20170110,170000,593.9000000,599.9000000,593.9000000,599.7000000,58.210
MFON,60,20170110,180000,599.7000000,604.6000000,598.3000000,604.0000000,62.780
MFON,60,20170110,190000,604.0000000,606.9000000,603.8000000,605.5000000,33.430
MFON,60,20170111,110000,604.5000000,606.3000000,601.0000000,601.4000000,27.220
MFON,60,20170111,120000,601.4000000,607.3000000,601.1000000,605.3000000,24.900
MFON,60,20170111,130000,605.3000000,607.5000000,605.0000000,605.8000000,22.770
MFON,60,20170111,140000,605.9000000,606.6000000,604.6000000,606.0000000,12.450
MFON,60,20170111,150000,605.9000000,608.0000000,604.9000000,608.0000000,16.440
MFON,60,20170111,160000,606.9000000,609.3000000,604.6000000,605.1000000,119.990
MFON,60,20170111,170000,605.5000000,606.5000000,601.9000000,603.2000000,13.390
MFON,60,20170111,180000,602.6000000,609.4000000,601.8000000,609.3000000,47.770
MFON,60,20170111,190000,609.3000000,612.6000000,607.5000000,607.7000000,69.970
MFON,60,20170112,110000,613.7000000,614.8000000,609.6000000,613.5000000,23.780
MFON,60,20170112,120000,613.1000000,613.7000000,610.0000000,613.0000000,18.460
MFON,60,20170112,130000,612.5000000,614.3000000,612.1000000,613.3000000,13.960
MFON,60,20170112,140000,613.0000000,613.2000000,611.3000000,612.0000000,6.550
MFON,60,20170112,150000,612.4000000,613.0000000,611.0000000,611.9000000,15.840
MFON,60,20170112,160000,611.9000000,612.4000000,611.0000000,612.0000000,4.880
MFON,60,20170112,170000,611.8000000,612.5000000,611.0000000,611.9000000,8.090
MFON,60,20170112,180000,612.0000000,612.0000000,610.3000000,610.8000000,91.660
MFON,60,20170112,190000,610.8000000,611.7000000,608.0000000,608.9000000,54.210
MFON,60,20170113,110000,608.1000000,612.1000000,606.0000000,609.2000000,19.240
MFON,60,20170113,120000,609.2000000,613.0000000,608.1000000,611.8000000,45.610
MFON,60,20170113,130000,611.9000000,612.9000000,610.6000000,610.6000000,15.700
MFON,60,20170113,140000,610.7000000,611.9000000,608.6000000,608.8000000,16.780
MFON,60,20170113,150000,608.9000000,610.6000000,607.5000000,609.8000000,37.110
MFON,60,20170113,160000,609.7000000,610.2000000,608.9000000,610.0000000,10.490
MFON,60,20170113,170000,610.1000000,612.0000000,609.7000000,610.3000000,19.400
MFON,60,20170113,180000,610.9000000,612.4000000,610.0000000,612.3000000,15.050
MFON,60,20170113,190000,612.4000000,613.0000000,611.5000000,612.0000000,55.800
MFON,60,20170116,110000,611.7000000,612.7000000,608.1000000,608.9000000,19.910
MFON,60,20170116,120000,608.8000000,613.5000000,608.8000000,612.3000000,16.810
